127.0.0.1 - - [18/Dec/2020:09:49:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Dec/2020:09:49:43 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [18/Dec/2020:09:49:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2020:09:49:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Dec/2020:09:50:12 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2020:09:50:12 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2020:09:51:34 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [18/Dec/2020:09:54:33 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [18/Dec/2020:09:55:30 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [18/Dec/2020:09:58:06 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [18/Dec/2020:09:58:30 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2020:10:00:01 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [18/Dec/2020:10:00:43 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [18/Dec/2020:10:01:39 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 200 1932
0:0:0:0:0:0:0:1 - - [18/Dec/2020:10:03:08 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [18/Dec/2020:10:03:09 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2020:10:03:17 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2020:10:03:19 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2020:10:04:41 +0900] "GET /css/cssPositioning/exam05.html HTTP/1.1" 200 2173
