127.0.0.1 - - [06/Dec/2020:21:54:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Dec/2020:21:55:23 +0900] "GET /mvcboard/main/index.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [06/Dec/2020:21:55:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Dec/2020:21:55:34 +0900] "GET /mvcboard/board/boardList.do?pg=1 HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [06/Dec/2020:21:55:34 +0900] "GET /mvcboard/css/member.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:00:42 +0900] "GET /mvcboard/board/boardList.do?pg=1 HTTP/1.1" 200 3585
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:03:39 +0900] "GET /mvcboard/main/index.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:03:41 +0900] "GET /mvcboard/member/loginForm.do HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:03:46 +0900] "POST /mvcboard/member/login.do HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:03:46 +0900] "GET /mvcboard/image/apple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:03:47 +0900] "GET /mvcboard/main/index.do HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:03:48 +0900] "GET /mvcboard/board/boardList.do?pg=1 HTTP/1.1" 200 3585
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:03:52 +0900] "GET /mvcboard/board/boardList.do?pg=2 HTTP/1.1" 200 3588
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:03:53 +0900] "GET /mvcboard/board/boardList.do?pg=3 HTTP/1.1" 200 3570
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:03:55 +0900] "GET /mvcboard/board/boardList.do?pg=2 HTTP/1.1" 200 3588
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:03:56 +0900] "GET /mvcboard/board/boardList.do?pg=1 HTTP/1.1" 200 3585
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:03:57 +0900] "GET /mvcboard/board/boardList.do?pg=3 HTTP/1.1" 200 3570
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:03:58 +0900] "GET /mvcboard/board/boardList.do?pg=4 HTTP/1.1" 200 3505
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:04:01 +0900] "GET /mvcboard/board/boardList.do?pg=3 HTTP/1.1" 200 3570
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:04:02 +0900] "GET /mvcboard/board/boardList.do?pg=1 HTTP/1.1" 200 3585
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:06:31 +0900] "GET /mvcboard/main/index.do HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:06:33 +0900] "GET /mvcboard/board/boardList.do?pg=1 HTTP/1.1" 200 3585
0:0:0:0:0:0:0:1 - - [06/Dec/2020:22:07:04 +0900] "GET /mvcboard/board/boardList.do?pg=1 HTTP/1.1" 200 3620
