127.0.0.1 - - [12/Dec/2020:15:47:29 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:47:38 +0900] "GET /miniproject01/main/index.do HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:47:38 +0900] "GET /miniproject01/image/image01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:47:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:47:40 +0900] "GET /miniproject01/member/loginForm.do HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:47:49 +0900] "POST /miniproject01/member/login.do HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:47:51 +0900] "GET /miniproject01/member/loginForm.do HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:47:56 +0900] "POST /miniproject01/member/login.do HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:47:57 +0900] "GET /miniproject01/member/loginForm.do HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:48:19 +0900] "POST /miniproject01/member/login.do HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:48:19 +0900] "GET /miniproject01/main/index.do HTTP/1.1" 200 1746
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:48:23 +0900] "GET /miniproject01/board/boardList.do?pg=1 HTTP/1.1" 200 5747
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:48:23 +0900] "GET /miniproject01/image/reply.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:48:29 +0900] "GET /miniproject01/board/boardWriteForm.do HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:48:29 +0900] "GET /miniproject01/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:48:44 +0900] "POST /miniproject01/board/boardWrite.do HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:48:45 +0900] "GET /miniproject01/board/boardList.do?pg=1 HTTP/1.1" 200 5578
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:48:47 +0900] "GET /miniproject01/board/boardView.do?seq=51&pg=1 HTTP/1.1" 200 3201
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:48:49 +0900] "GET /miniproject01/board/boardReplyForm.do?pseq=51&pg=1 HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:49:09 +0900] "POST /miniproject01/board/boardReply.do HTTP/1.1" 500 1197
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:51:26 +0900] "POST /miniproject01/board/boardReply.do HTTP/1.1" 500 1197
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:51:46 +0900] "GET /miniproject01/board/boardReplyForm.do?pseq=51&pg=1 HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:51:46 +0900] "GET /miniproject01/board/boardReplyForm.do?pseq=51&pg=1 HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:51:51 +0900] "POST /miniproject01/board/boardReply.do HTTP/1.1" 500 1197
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:56:27 +0900] "GET /miniproject01/board/boardReplyForm.do?pseq=51&pg=1 HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:56:33 +0900] "POST /miniproject01/board/boardReply.do HTTP/1.1" 500 1197
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:57:37 +0900] "GET /miniproject01/board/boardReplyForm.do?pseq=51&pg=1 HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:57:42 +0900] "GET /miniproject01/board/boardReplyForm.do?pseq=51&pg=1 HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:57:43 +0900] "GET /miniproject01/board/boardReplyForm.do?pseq=51&pg=1 HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:57:43 +0900] "GET /miniproject01/board/boardReplyForm.do?pseq=51&pg=1 HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:57:47 +0900] "POST /miniproject01/board/boardReply.do HTTP/1.1" 500 1197
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:58:38 +0900] "GET /miniproject01/board/boardReplyForm.do?pseq=51&pg=1 HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:58:38 +0900] "GET /miniproject01/board/boardReplyForm.do?pseq=51&pg=1 HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:58:38 +0900] "GET /miniproject01/board/boardReplyForm.do?pseq=51&pg=1 HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:58:38 +0900] "GET /miniproject01/board/boardReplyForm.do?pseq=51&pg=1 HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:58:38 +0900] "GET /miniproject01/board/boardReplyForm.do?pseq=51&pg=1 HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Dec/2020:15:58:50 +0900] "POST /miniproject01/board/boardReply.do HTTP/1.1" 500 1197
0:0:0:0:0:0:0:1 - - [12/Dec/2020:16:00:03 +0900] "GET /miniproject01/board/boardList.do?pg=1 HTTP/1.1" 200 5455
